center_count,sigma,lambda,cv_mse,train_mse,test_mse
30.0,0.5,1.0,0.3670602905239201,0.24370159534970284,0.2875527557347803
15.0,0.3,0.0001,0.3711648908400941,0.21729788525486704,0.31736682045327086
15.0,0.3,1e-06,0.3715582849832154,0.21729781441716686,0.3173506890213576
30.0,0.8,0.01,0.37416513349575725,0.2411704988886449,0.2818595883663285
25.0,0.5,1.0,0.37760836149372445,0.2532447039215815,0.29267249093404973
15.0,0.2,1.0,0.3791311667556166,0.2949892755853355,0.37967806926474895
20.0,0.3,0.01,0.3791524294195282,0.16821451734865459,0.2555151766909474
25.0,0.8,0.01,0.38750777957986,0.2492971189268447,0.28670338765340025
15.0,0.8,0.0001,0.38800559358171854,0.18072081648102556,0.268412393890655
20.0,0.5,1.0,0.38966377572119926,0.2651539115476307,0.2991630422538721
15.0,0.5,1.0,0.39184832185802293,0.2751803108329814,0.3087268363280786
15.0,0.2,0.1,0.3944019612869871,0.27110896046434657,0.3804969152902614
20.0,0.8,0.01,0.40236169903923236,0.2592741473282498,0.29289099230702165
30.0,0.1,1.0,0.40615018333676733,0.2353275666889267,0.3138953852579578
30.0,1.5,1e-06,0.4087582740029482,0.3138925148030711,0.3333503648617441
25.0,1.5,1e-06,0.4100634644464455,0.3146901537158851,0.3326770946019221
20.0,1.5,1e-06,0.41255779458911784,0.3159686749664583,0.3318900602071202
15.0,0.8,0.01,0.4159182773512088,0.27098479820039634,0.30103179105175504
8.0,0.3,1.0,0.41797195674646687,0.35902605034431256,0.4343353509872122
15.0,1.5,1e-06,0.41964929777304016,0.31889535602372915,0.33092877310733976
12.0,0.3,1.0,0.420822789501651,0.32288179516064935,0.31744438359674737
20.0,0.8,0.0001,0.42195506143894956,0.17624541842218006,0.2655891017045807
25.0,0.8,0.0001,0.429099481518007,0.1757597455658637,0.265967260394194
15.0,0.8,1e-06,0.4331863389327369,0.18053270838100668,0.26986195385424294
20.0,0.3,1e-06,0.43332411458785813,0.16813521779942076,0.25624821610726944
20.0,0.3,0.0001,0.43335113667165626,0.1681360300008329,0.25619643619381877
30.0,0.8,0.0001,0.4339460732390824,0.17543712329542185,0.26623422088747334
8.0,0.2,0.1,0.436893466706805,0.37885364663928245,0.48813775259873865
12.0,1.5,1e-06,0.43756196498422256,0.325146036591118,0.3305481717612704
12.0,0.2,1.0,0.44120132980371685,0.35420137322710266,0.3539504452887878
12.0,0.2,0.1,0.44394900593323605,0.33392848178287066,0.338011678647905
8.0,0.3,0.1,0.4442463251357401,0.34767483506517755,0.436078637442785
12.0,0.3,0.1,0.4447670275863089,0.3114266981931304,0.30845799442143923
8.0,0.2,0.01,0.4480009592352826,0.37854488921095614,0.49082659298907316
8.0,0.2,1.0,0.4536610672800515,0.3972976592263188,0.4822582533283504
12.0,0.5,1.0,0.4558814988121239,0.33614886249850445,0.3318703634702703
8.0,0.2,0.0001,0.4578040445044418,0.3785415738136529,0.4911603227959519
8.0,0.2,1e-06,0.4579715318714196,0.3785415734798468,0.4911637003197744
25.0,0.1,0.1,0.46106746019185385,0.24338772226961758,0.33772193279752605
10.0,1.5,1e-06,0.4750418760333231,0.33918067456060547,0.331742878675607
25.0,0.1,1.0,0.47640111867731694,0.30563688635126957,0.3619172999324619
