iteration,train_mse
0,0.7251314725937392
1,0.7194246527121619
2,0.7180038010109915
3,0.7166435384288232
4,0.7153013806890876
5,0.7139766754594237
6,0.7126691916843193
7,0.7113787054399906
8,0.710104995754984
9,0.7088478445309279
10,0.7076070365047745
11,0.7063823592119352
12,0.7051736029499003
13,0.7039805607423308
14,0.7028030283036193
15,0.7016408040039085
16,0.7004936888345662
17,0.69936148637411
18,0.698244002754572
19,0.6971410466283041
20,0.6960524291352129
21,0.6949779638704214
22,0.69391746685235
23,0.6928707564912137
24,0.6918376535579281
25,0.6908179811534201
26,0.6898115646783372
27,0.6888182318031505
28,0.6878378124386474
29,0.6868701387068056
30,0.6859150449120485
31,0.684972367512873
32,0.6840419450938444
33,0.6831236183379601
34,0.6822172299993666
35,0.6813226248764366
36,0.6804396497851917
37,0.6795681535330738
38,0.6787079868930559
39,0.6778590025780902
40,0.6770210552158875
41,0.6761940013240251
42,0.6753776992853784
43,0.6745720093238711
44,0.6737767934805425
45,0.6729919155899233
46,0.6722172412567208
47,0.6714526378328052
48,0.6706979743944974
49,0.6699531217201503
50,0.6692179522680223
51,0.6684923401544371
52,0.6677761611322305
53,0.6670692925694734
54,0.6663716134284752
55,0.6656830042450567
56,0.6650033471080963
57,0.6643325256393373
58,0.6636704249734633
59,0.6630169317384274
60,0.6623719340360397
61,0.6617353214228088
62,0.6611069848910279
63,0.6604868168501112
64,0.6598747111081694
65,0.6592705628538289
66,0.658674268638282
67,0.6580857263575751
68,0.6575048352351248
69,0.6569314958044619
70,0.6563656098921993
71,0.6558070806012224
72,0.6552558122940976
73,0.654711710576694
74,0.6541746822820229
75,0.6536446354542842
76,0.6531214793331188
77,0.6526051243380696
78,0.6520954820532424
79,0.6515924652121654
80,0.6510959876828473
81,0.6506059644530283
82,0.6501223116156241
83,0.6496449463543574
84,0.6491737869295787
85,0.6487087526642678
86,0.6482497639302217
87,0.6477967421344182
88,0.6473496097055592
89,0.6469082900807875
90,0.6464727076925771
91,0.6460427879557943
92,0.6456184572549255
93,0.6451996429314723
94,0.6447862732715102
95,0.6443782774934096
96,0.6439755857357141
97,0.64357812904518
98,0.643185839364968
99,0.6427986495229904
100,0.642416493220409
101,0.6420393050202828
102,0.6416670203363632
103,0.6412995754220345
104,0.6409369073593991
105,0.6405789540485033
106,0.6402256541967043
107,0.6398769473081755
108,0.6395327736735466
109,0.6391930743596803
110,0.6388577911995812
111,0.6385268667824352
112,0.6382002444437798
113,0.6378778682558003
114,0.6375596830177548
115,0.6372456342465206
116,0.6369356681672658
117,0.6366297317042412
118,0.6363277724716923
119,0.636029738764889
120,0.6357355795512721
121,0.6354452444617152
122,0.6351586837819
123,0.6348758484438033
124,0.634596690017295
125,0.6343211607018463
