model,train_mse,test_mse,param_0,param_1
Least Squares,0.6134024281450052,0.5950433861467296,-0.6487466967301824,0.10894738685803652
Gradient Descent,0.6134024281450051,0.5950433854919295,-0.6487466817561086,0.10894738460653217
Newton Method,0.613402428145005,0.5950433861467296,-0.6487466967301853,0.10894738685803705
RBF Ridge,0.1751772448640999,0.263420861748877,0.11534842748718266,-1.481985985355883
