model,MAE,RMSE,R2
Persistence (previous hour),11.457382202148438,22.634805314406698,0.917314887046814
Ridge regression (flattened history),12.016040802001953,21.968077647961714,0.9221142530441284
PyTorch LSTM (multivariate history),11.975532531738281,21.924531673705783,0.9224227666854858
